#1
double	presence(35040, 2)
1525397400	0
1525398300	0
1525399200	0
1525400100	0
1525401000	0
1525401900	0
1525402800	0
1525403700	0
1525404600	0
1525405500	0
1525406400	0
1525407300	0
1525408200	0
1525409100	0
1525410000	0
1525410900	0
1525411800	0
1525412700	0
1525413600	0
1525414500	0
1525415400	0
1525416300	0
1525417200	0
1525418100	0
1525419000	0
1525419900	0
1525420800	0
1525421700	0
1525422600	0
1525423500	0
1525424400	0
1525425300	0
1525426200	0
1525427100	0
1525428000	0
1525428900	0
1525429800	0
1525430700	0
1525431600	0
1525432500	0
1525433400	0
1525434300	0
1525435200	0
1525436100	0
1525437000	0
1525437900	0
1525438800	0
1525439700	0
1525440600	0
1525441500	0
1525442400	0
1525443300	0
1525444200	0
1525445100	0
1525446000	1
1525446900	1
1525447800	1
1525448700	1
1525449600	1
1525450500	1
1525451400	1
1525452300	1
1525453200	1
1525454100	1
1525455000	1
1525455900	1
1525456800	1
1525457700	1
1525458600	1
1525459500	1
1525460400	1
1525461300	1
1525462200	1
1525463100	1
1525464000	1
1525464900	1
1525465800	1
1525466700	1
1525467600	0
1525468500	0
1525469400	0
1525470300	0
1525471200	0
1525472100	0
1525473000	0
1525473900	0
1525474800	0
1525475700	0
1525476600	0
1525477500	0
1525478400	0
1525479300	0
1525480200	0
1525481100	0
1525482000	0
1525482900	0
1525483800	0
1525484700	0
1525485600	0
1525486500	0
1525487400	0
1525488300	0
1525489200	0
1525490100	0
1525491000	0
1525491900	0
1525492800	0
1525493700	0
1525494600	0
1525495500	0
1525496400	0
1525497300	0
1525498200	0
1525499100	0
1525500000	0
1525500900	0
1525501800	0
1525502700	0
1525503600	0
1525504500	0
1525505400	0
1525506300	0
1525507200	0
1525508100	0
1525509000	0
1525509900	0
1525510800	0
1525511700	0
1525512600	0
1525513500	0
1525514400	0
1525515300	0
1525516200	0
1525517100	0
1525518000	0
1525518900	0
1525519800	0
1525520700	0
1525521600	0
1525522500	0
1525523400	0
1525524300	0
1525525200	0
1525526100	0
1525527000	0
1525527900	0
1525528800	0
1525529700	0
1525530600	0
1525531500	0
1525532400	1
1525533300	1
1525534200	1
1525535100	1
1525536000	1
1525536900	1
1525537800	1
1525538700	1
1525539600	1
1525540500	1
1525541400	1
1525542300	1
1525543200	1
1525544100	1
1525545000	1
1525545900	1
1525546800	1
1525547700	1
1525548600	1
1525549500	1
1525550400	1
1525551300	1
1525552200	1
1525553100	1
1525554000	0
1525554900	0
1525555800	0
1525556700	0
1525557600	0
1525558500	0
1525559400	0
1525560300	0
1525561200	0
1525562100	0
1525563000	0
1525563900	0
1525564800	0
1525565700	0
1525566600	0
1525567500	0
1525568400	0
1525569300	0
1525570200	0
1525571100	0
1525572000	0
1525572900	0
1525573800	0
1525574700	0
1525575600	0
1525576500	0
1525577400	0
1525578300	0
1525579200	0
1525580100	0
1525581000	0
1525581900	0
1525582800	0
1525583700	0
1525584600	0
1525585500	0
1525586400	0
1525587300	0
1525588200	0
1525589100	0
1525590000	0
1525590900	0
1525591800	0
1525592700	0
1525593600	0
1525594500	0
1525595400	0
1525596300	0
1525597200	0
1525598100	0
1525599000	0
1525599900	0
1525600800	0
1525601700	0
1525602600	0
1525603500	0
1525604400	0
1525605300	0
1525606200	0
1525607100	0
1525608000	0
1525608900	0
1525609800	0
1525610700	0
1525611600	0
1525612500	0
1525613400	0
1525614300	0
1525615200	0
1525616100	0
1525617000	0
1525617900	0
1525618800	1
1525619700	1
1525620600	1
1525621500	1
1525622400	1
1525623300	1
1525624200	1
1525625100	1
1525626000	1
1525626900	1
1525627800	1
1525628700	1
