#1
double	Pel(35040, 2)
1516230900	184
1516231800	184
1516232700	184
1516233600	176
1516234500	176
1516235400	176
1516236300	176
1516237200	208
1516238100	208
1516239000	208
1516239900	208
1516240800	200
1516241700	200
1516242600	200
1516243500	200
1516244400	172
1516245300	172
1516246200	172
1516247100	172
1516248000	196
1516248900	196
1516249800	196
1516250700	196
1516251600	280
1516252500	280
1516253400	280
1516254300	280
1516255200	372
1516256100	372
1516257000	372
1516257900	372
1516258800	324
1516259700	324
1516260600	324
1516261500	324
1516262400	176
1516263300	176
1516264200	176
1516265100	176
1516266000	176
1516266900	176
1516267800	176
1516268700	176
1516269600	152
1516270500	152
1516271400	152
1516272300	152
1516273200	136
1516274100	136
1516275000	136
1516275900	136
1516276800	132
1516277700	132
1516278600	132
1516279500	132
1516280400	136
1516281300	136
1516282200	136
1516283100	136
1516284000	136
1516284900	136
1516285800	136
1516286700	136
1516287600	180
1516288500	180
1516289400	180
1516290300	180
1516291200	336
1516292100	336
1516293000	336
1516293900	336
1516294800	652
1516295700	652
1516296600	652
1516297500	652
1516298400	644
1516299300	644
1516300200	644
1516301100	644
1516302000	396
1516302900	396
1516303800	396
1516304700	396
1516305600	364
1516306500	364
1516307400	364
1516308300	364
1516309200	348
1516310100	348
1516311000	348
1516311900	348
1516312800	276
1516313700	276
1516314600	276
1516315500	276
1516316400	184
1516317300	184
1516318200	184
1516319100	184
1516320000	176
1516320900	176
1516321800	176
1516322700	176
1516323600	208
1516324500	208
1516325400	208
1516326300	208
1516327200	200
1516328100	200
1516329000	200
1516329900	200
1516330800	172
1516331700	172
1516332600	172
1516333500	172
1516334400	196
1516335300	196
1516336200	196
1516337100	196
1516338000	280
1516338900	280
1516339800	280
1516340700	280
1516341600	372
1516342500	372
1516343400	372
1516344300	372
1516345200	324
1516346100	324
1516347000	324
1516347900	324
1516348800	176
1516349700	176
1516350600	176
1516351500	176
1516352400	176
1516353300	176
1516354200	176
1516355100	176
1516356000	152
1516356900	152
1516357800	152
1516358700	152
1516359600	136
1516360500	136
1516361400	136
1516362300	136
1516363200	132
1516364100	132
1516365000	132
1516365900	132
1516366800	136
1516367700	136
1516368600	136
1516369500	136
1516370400	136
1516371300	136
1516372200	136
1516373100	136
1516374000	180
1516374900	180
1516375800	180
1516376700	180
1516377600	336
1516378500	336
1516379400	336
1516380300	336
1516381200	652
1516382100	652
1516383000	652
1516383900	652
1516384800	644
1516385700	644
1516386600	644
1516387500	644
1516388400	396
1516389300	396
1516390200	396
1516391100	396
1516392000	364
1516392900	364
1516393800	364
1516394700	364
1516395600	348
1516396500	348
1516397400	348
1516398300	348
1516399200	276
1516400100	276
1516401000	276
1516401900	276
1516402800	184
1516403700	184
1516404600	184
1516405500	184
1516406400	176
1516407300	176
1516408200	176
1516409100	176
1516410000	208
1516410900	208
1516411800	208
1516412700	208
1516413600	200
1516414500	200
1516415400	200
1516416300	200
1516417200	172
1516418100	172
1516419000	172
1516419900	172
1516420800	196
1516421700	196
1516422600	196
1516423500	196
1516424400	280
1516425300	280
1516426200	280
1516427100	280
1516428000	372
1516428900	372
1516429800	372
1516430700	372
1516431600	324
1516432500	324
1516433400	324
1516434300	324
1516435200	176
1516436100	176
1516437000	176
1516437900	176
1516438800	176
1516439700	176
1516440600	176
1516441500	176
1516442400	152
1516443300	152
1516444200	152
1516445100	152
1516446000	136
1516446900	136
1516447800	136
1516448700	136
1516449600	132
1516450500	132
1516451400	132
1516452300	132
1516453200	136
1516454100	136
1516455000	136
1516455900	136
1516456800	136
1516457700	136
1516458600	136
1516459500	136
1516460400	180
1516461300	180
1516462200	180
1516463100	180
1516464000	336
1516464900	336
1516465800	336
1516466700	336
1516467600	652
1516468500	652
1516469400	652
1516470300	652
1516471200	644
1516472100	644
1516473000	644
1516473900	644
1516474800	396
1516475700	396
1516476600	396
1516477500	396
1516478400	364
1516479300	364
1516480200	364
1516481100	364
1516482000	348
1516482900	348
1516483800	348
1516484700	348
1516485600	276
1516486500	276
1516487400	276
1516488300	276
1516489200	184
1516490100	184
1516491000	184
1516491900	184
1516492800	176
1516493700	176
1516494600	176
1516495500	176
1516496400	208
1516497300	208
1516498200	208
1516499100	208
1516500000	200
1516500900	200
1516501800	200
1516502700	200
1516503600	172
1516504500	172
1516505400	172
1516506300	172
1516507200	196
1516508100	196
1516509000	196
1516509900	196
1516510800	280
1516511700	280
1516512600	280
1516513500	280
1516514400	372
1516515300	372
1516516200	372
1516517100	372
1516518000	324
1516518900	324
1516519800	324
1516520700	324
1516521600	176
1516522500	176
1516523400	176
1516524300	176
1516525200	176
1516526100	176
1516527000	176
1516527900	176
1516528800	152
1516529700	152
1516530600	152
1516531500	152
1516532400	136
1516533300	136
1516534200	136
1516535100	136
1516536000	132
1516536900	132
1516537800	132
1516538700	132
1516539600	136
1516540500	136
